. Sequence file : [Blattabacteria16S.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	21   	-7570.66809	Yes        	4        	0.258    	0.000    	 0.26231   0.20053   0.28422   0.25293	-1.06962   0.15455   0.60802   0.30705  
      	     	          	           	          	           	             	                                      	 0.20216  -1.01043   0.09551   0.71276  
      	     	          	           	          	           	             	                                      	 0.56114   0.06739  -0.83028   0.20176  
      	     	          	           	          	           	             	                                      	 0.31843   0.56510   0.22671  -1.11024  

  #2	21   	-7666.83969	Yes        	4        	0.266    	0.000    	 0.29569   0.19163   0.27728   0.23541	-0.94332   0.11073   0.50317   0.32942  
      	     	          	           	          	           	             	                                      	 0.17086  -1.10677   0.11941   0.81649  
      	     	          	           	          	           	             	                                      	 0.53657   0.08252  -0.76958   0.15049  
      	     	          	           	          	           	             	                                      	 0.41377   0.66464   0.17726  -1.25568  

  #3	21   	-7769.21319	Yes        	4        	0.268    	0.000    	 0.27907   0.21346   0.27075   0.23671	-1.06395   0.08391   0.66068   0.31937  
      	     	          	           	          	           	             	                                      	 0.10970  -0.84008   0.08102   0.64937  
      	     	          	           	          	           	             	                                      	 0.68098   0.06387  -0.91907   0.17421  
      	     	          	           	          	           	             	                                      	 0.37652   0.58559   0.19927  -1.16138  

  #4	21   	-7541.59347	Yes        	4        	0.207    	0.000    	 0.29476   0.19730   0.27007   0.23786	-1.07138   0.10437   0.68263   0.28438  
      	     	          	           	          	           	             	                                      	 0.15592  -0.86229   0.10423   0.60213  
      	     	          	           	          	           	             	                                      	 0.74504   0.07615  -0.98718   0.16599  
      	     	          	           	          	           	             	                                      	 0.35240   0.49946   0.18847  -1.04034  

  #5	21   	-7600.08911	Yes        	4        	0.285    	0.000    	 0.27326   0.20343   0.28153   0.24178	-1.09222   0.13249   0.61280   0.34692  
      	     	          	           	          	           	             	                                      	 0.17797  -0.95510   0.08682   0.69030  
      	     	          	           	          	           	             	                                      	 0.59481   0.06274  -0.81187   0.15432  
      	     	          	           	          	           	             	                                      	 0.39210   0.58083   0.17969  -1.15262  

  #6	21   	-7668.64033	Yes        	4        	0.281    	0.000    	 0.29361   0.20020   0.26614   0.24006	-0.96572   0.11327   0.55867   0.29378  
      	     	          	           	          	           	             	                                      	 0.16612  -0.97627   0.08537   0.72478  
      	     	          	           	          	           	             	                                      	 0.61633   0.06422  -0.88445   0.20390  
      	     	          	           	          	           	             	                                      	 0.35932   0.60445   0.22605  -1.18982  

  #7	21   	-7677.98347	Yes        	4        	0.273    	0.000    	 0.27420   0.19332   0.29424   0.23824	-1.06919   0.13126   0.63751   0.30042  
      	     	          	           	          	           	             	                                      	 0.18618  -1.03127   0.08291   0.76218  
      	     	          	           	          	           	             	                                      	 0.59409   0.05447  -0.79625   0.14769  
      	     	          	           	          	           	             	                                      	 0.34576   0.61846   0.18241  -1.14663  

  #8	21   	-7962.70016	Yes        	4        	0.249    	0.000    	 0.25805   0.21033   0.27856   0.25306	-1.12613   0.13203   0.66999   0.32411  
      	     	          	           	          	           	             	                                      	 0.16198  -0.93795   0.07652   0.69946  
      	     	          	           	          	           	             	                                      	 0.62066   0.05777  -0.84427   0.16583  
      	     	          	           	          	           	             	                                      	 0.33049   0.58134   0.18254  -1.09438  

  #9	21   	-7364.52395	Yes        	4        	0.229    	0.000    	 0.28174   0.20066   0.27441   0.24320	-1.06543   0.08390   0.72396   0.25757  
      	     	          	           	          	           	             	                                      	 0.11780  -0.83015   0.05573   0.65661  
      	     	          	           	          	           	             	                                      	 0.74330   0.04075  -0.99139   0.20733  
      	     	          	           	          	           	             	                                      	 0.29838   0.54174   0.23393  -1.07406  

  #10	21   	-7412.50999	Yes        	4        	0.256    	0.000    	 0.29157   0.19179   0.28056   0.23608	-0.96646   0.10697   0.54776   0.31173  
      	     	          	           	          	           	             	                                      	 0.16262  -1.10107   0.07170   0.86675  
      	     	          	           	          	           	             	                                      	 0.56925   0.04901  -0.75451   0.13625  
      	     	          	           	          	           	             	                                      	 0.38500   0.70414   0.16192  -1.25106  

  #11	21   	-7980.71019	Yes        	4        	0.234    	0.000    	 0.27012   0.19651   0.28563   0.24774	-1.07373   0.08336   0.65702   0.33335  
      	     	          	           	          	           	             	                                      	 0.11458  -0.89387   0.09226   0.68703  
      	     	          	           	          	           	             	                                      	 0.62134   0.06348  -0.88377   0.19896  
      	     	          	           	          	           	             	                                      	 0.36346   0.54494   0.22939  -1.13779  

  #12	21   	-7745.99093	Yes        	4        	0.227    	0.000    	 0.26254   0.19404   0.29760   0.24582	-1.07270   0.13817   0.60903   0.32549  
      	     	          	           	          	           	             	                                      	 0.18695  -1.05172   0.10304   0.76172  
      	     	          	           	          	           	             	                                      	 0.53728   0.06719  -0.77441   0.16995  
      	     	          	           	          	           	             	                                      	 0.34764   0.60127   0.20575  -1.15465  

  #13	21   	-7520.07768	Yes        	4        	0.237    	0.000    	 0.27427   0.20464   0.26818   0.25291	-1.03244   0.07467   0.68226   0.27551  
      	     	          	           	          	           	             	                                      	 0.10008  -1.00552   0.08640   0.81904  
      	     	          	           	          	           	             	                                      	 0.69775   0.06593  -0.88130   0.11762  
      	     	          	           	          	           	             	                                      	 0.29878   0.66272   0.12472  -1.08623  

  #14	21   	-7501.04025	Yes        	4        	0.210    	0.000    	 0.29650   0.18556   0.27105   0.24690	-0.98333   0.09752   0.63167   0.25414  
      	     	          	           	          	           	             	                                      	 0.15583  -1.04605   0.11464   0.77559  
      	     	          	           	          	           	             	                                      	 0.69097   0.07848  -0.92905   0.15961  
      	     	          	           	          	           	             	                                      	 0.30519   0.58289   0.17522  -1.06330  

  #15	21   	-7780.24105	Yes        	4        	0.237    	0.000    	 0.27870   0.20951   0.27322   0.23858	-1.04255   0.12581   0.64917   0.26757  
      	     	          	           	          	           	             	                                      	 0.16736  -0.91037   0.04704   0.69597  
      	     	          	           	          	           	             	                                      	 0.66221   0.03607  -0.89510   0.19683  
      	     	          	           	          	           	             	                                      	 0.31257   0.61116   0.22540  -1.14913  

  #16	21   	-7432.81076	Yes        	4        	0.202    	0.000    	 0.27145   0.19622   0.27655   0.25578	-1.08879   0.12181   0.69085   0.27613  
      	     	          	           	          	           	             	                                      	 0.16851  -1.01310   0.10812   0.73646  
      	     	          	           	          	           	             	                                      	 0.67812   0.07672  -0.89485   0.14002  
      	     	          	           	          	           	             	                                      	 0.29305   0.56497   0.15139  -1.00941  

  #17	21   	-7709.95154	Yes        	4        	0.268    	0.000    	 0.27622   0.19196   0.28368   0.24814	-1.03196   0.08937   0.66542   0.27717  
      	     	          	           	          	           	             	                                      	 0.12859  -0.99395   0.11640   0.74896  
      	     	          	           	          	           	             	                                      	 0.64791   0.07877  -0.89883   0.17216  
      	     	          	           	          	           	             	                                      	 0.30853   0.57941   0.19682  -1.08476  

  #18	21   	-7373.55884	Yes        	4        	0.250    	0.000    	 0.27762   0.19218   0.28494   0.24526	-0.95149   0.11040   0.60749   0.23360  
      	     	          	           	          	           	             	                                      	 0.15948  -1.15611   0.11453   0.88210  
      	     	          	           	          	           	             	                                      	 0.59188   0.07724  -0.82466   0.15554  
      	     	          	           	          	           	             	                                      	 0.26441   0.69118   0.18070  -1.13629  

  #19	21   	-7787.69034	Yes        	4        	0.226    	0.000    	 0.27876   0.18710   0.29327   0.24088	-1.02218   0.11782   0.64870   0.25566  
      	     	          	           	          	           	             	                                      	 0.17555  -1.08117   0.10691   0.79872  
      	     	          	           	          	           	             	                                      	 0.61660   0.06820  -0.84037   0.15557  
      	     	          	           	          	           	             	                                      	 0.29585   0.62037   0.18940  -1.10563  

  #20	21   	-7641.33494	Yes        	4        	0.232    	0.000    	 0.28235   0.20167   0.27416   0.24181	-1.04220   0.14229   0.58158   0.31833  
      	     	          	           	          	           	             	                                      	 0.19922  -1.02504   0.10272   0.72310  
      	     	          	           	          	           	             	                                      	 0.59894   0.07556  -0.81744   0.14294  
      	     	          	           	          	           	             	                                      	 0.37170   0.60306   0.16206  -1.13682  

  #21	21   	-7869.30566	Yes        	4        	0.231    	0.000    	 0.28553   0.19612   0.27703   0.24131	-1.01462   0.08910   0.61987   0.30565  
      	     	          	           	          	           	             	                                      	 0.12971  -0.99872   0.07595   0.79305  
      	     	          	           	          	           	             	                                      	 0.63888   0.05377  -0.83655   0.14390  
      	     	          	           	          	           	             	                                      	 0.36165   0.64453   0.16521  -1.17139  

