gene alignLength GC BlatGC FlavGC	treeLength	QSDnegative	QSDpositive
001nusA 1233 0.27856 0.28155 0.335097	1569	0 157
002infB 2556 0.29252 0.286595 0.367403	3938	0 273
003aspS 1695 0.29545 0.25377 0.381621	2711	0 165
004ppa 489 0.26918 0.260267 0.331827	683	0 56
005sucB 1104 0.3011 0.290242 0.397939	2017	0 107
008mreC 744 0.27808 0.245949 0.3178	1407	0 50
009mreB 1023 0.31321 0.323713 0.376438	1236	0 172
011argD 1110 0.33107 0.289527 0.387462	2800	0 55
012truA 729 0.26985 0.249917 0.323919	1354	0 58
013msbA 1704 0.26641 0.245752 0.322164	3784	0 101
014asnS 1383 0.2938 0.272864 0.360417	1982	0 140
015mdh 924 0.28664 0.288299 0.368612	1459	0 100
016gcvP 2817 0.29825 0.286468 0.377319	4429	0 304
018clpP 654 0.31791 0.306507 0.378975	865	0 86
023recA 984 0.27103 0.298661 0.368744	1295	0 165
026alaS 2607 0.29131 0.25187 0.368186	4548	0 205
027sucA 2697 0.297 0.272475 0.363164	4335	0 254
029sucC 1176 0.29334 0.279232 0.370668	1711	0 122
030dnaX 1050 0.26462 0.215523 0.34733	1938	0 72
032trxA 315 0.32615 0.285659 0.391824	454	0 27
034polA 891 0.29286 0.251172 0.35655	1406	0 99
035metG 1671 0.31106 0.288633 0.374677	2305	0 167
037ligA 1950 0.28518 0.270265 0.336836	3592	0 162
038trmE 1377 0.31375 0.281817 0.374946	2328	0 150
039gltX 1476 0.28888 0.285373 0.330013	2467	0 109
040rpsR 291 0.27965 0.261764 0.307018	345	0 22
041rplI 435 0.28623 0.272827 0.339648	643	0 34
046phospho2dehydro 1056 0.3047 0.308235 0.361773	1633	0 100
050dnaG 1800 0.2849 0.25267 0.339707	3329	0 136
052miaB 1293 0.27991 0.246937 0.353185	3672	1 124
059rpsP 330 0.32525 0.300717 0.395007	416	0 29
060bacA 768 0.27609 0.24716 0.327969	1356	0 21
061gyrB 1899 0.3131 0.299715 0.371973	2245	0 207
062trmD 654 0.31126 0.310364 0.36808	1062	0 70
064ruvA 579 0.27295 0.254037 0.331615	936	0 51
069pheS 972 0.29596 0.271933 0.353137	1252	0 98
075acpT 600 0.28458 0.242911 0.318867	1304	0 29
076pnuC 600 0.27066 0.261905 0.307302	1219	0 27
077hisS 1353 0.2937 0.261671 0.351575	2233	0 119
078ftsZ 1338 0.30936 0.311293 0.354148	2053	0 144
079ftsA 1338 0.30547 0.32316 0.362867	1845	0 168
081murC 1338 0.28711 0.26802 0.345881	2245	0 107
083ftsW 1161 0.30077 0.287234 0.347178	2057	0 111
085mraY 1149 0.27533 0.257677 0.341309	1914	0 107
086murE 1455 0.27729 0.256599 0.345101	2583	0 142
093dapF 765 0.29881 0.273178 0.354087	1504	0 70
096tatC 789 0.25527 0.244799 0.303763	1456	0 55
098smpB 429 0.27829 0.24343 0.326307	768	0 42
099tktB 840 0.32004 0.315554 0.362134	1165	0 90
100dxs 927 0.30465 0.319482 0.358688	1831	0 93
102aroA 1212 0.28359 0.264208 0.345578	2286	0 111
103rpsT 231 0.23062 0.222917 0.293651	314	0 19
104murI 765 0.2802 0.233181 0.334614	1473	0 60
109ccoN 2016 0.29756 0.291361 0.34685	4363	0 119
112gcvH 375 0.27991 0.267233 0.348031	614	0 38
115serC 1059 0.28919 0.256356 0.352578	1551	0 100
117aroK 510 0.2578 0.211022 0.310597	1124	0 31
118xthA 756 0.31375 0.262463 0.366116	1246	0 68
128folD 852 0.29018 0.276778 0.358627	1369	0 114
129rsmA 765 0.26391 0.231286 0.33692	1541	0 56
130serS 1263 0.29479 0.253815 0.372013	2108	0 123
132pdhB 975 0.33066 0.322774 0.387288	1239	0 127
134folA 477 0.28614 0.232863 0.343186	961	0 43
135valS 2604 0.28363 0.268433 0.368089	3931	0 233
138ndk 417 0.31438 0.275737 0.385714	611	0 45
139sucA 2697 0.297 0.272475 0.363164	4335	0 254
140ilvE 888 0.34078 0.288199 0.373994	1798	0 63
141argS 1725 0.27988 0.248437 0.340823	2822	0 140
142ffh 1329 0.27692 0.258229 0.362854	1940	0 119
146thrS 1200 0.30557 0.295416 0.372392	1546	0 152
147infC 378 0.25551 0.286013 0.332877	420	0 56
148rpmI 186 0.25006 0.221561 0.307071	235	0 12
149rplT 342 0.30828 0.282601 0.357101	439	0 32
150HolidayJunct 402 0.26063 0.222322 0.333815	713	1 31
151dapD 813 0.29964 0.318485 0.378676	1233	0 94
153cca 1413 0.27471 0.263977 0.333333	2146	0 142
160fbaA 1065 0.30046 0.295755 0.359738	1450	0 131
161accD 837 0.29787 0.302827 0.361637	1069	0 99
162guaA 1518 0.29731 0.26998 0.363791	2290	0 145
163purD 1233 0.29725 0.280702 0.360314	2122	0 100
165purN 549 0.27674 0.269002 0.313953	1098	0 41
166purM 954 0.29707 0.28358 0.357082	1683	0 72
167purF 1359 0.30615 0.294102 0.353765	2159	0 118
168purC 708 0.27845 0.239497 0.34592	1246	0 44
170purL 3360 0.31122 0.286915 0.372392	6051	0 227
171purB 1266 0.28333 0.278606 0.330955	2075	0 89
172purA 1251 0.29527 0.284959 0.359264	2014	0 127
173ruvB 963 0.30208 0.309164 0.374389	1364	0 135
176gyrA 2430 0.30075 0.303604 0.358384	3303	0 303
177aroB 978 0.26136 0.254644 0.300317	1884	0 87
180rplY 588 0.30902 0.26582 0.369094	1015	1 38
181prsA 930 0.31152 0.318351 0.374947	1266	0 133
182thyA 783 0.30189 0.276328 0.357177	1123	0 82
188rnhA 465 0.29289 0.243652 0.375259	744	0 48
190fbp 984 0.2844 0.293897 0.362353	1356	0 135
191marC 537 0.2881 0.278512 0.338849	917	0 60
193pyrD 849 0.27856 0.269935 0.336222	1582	0 69
196accB 459 0.28846 0.257457 0.361214	832	0 36
197accC 1338 0.31345 0.304507 0.387035	1727	0 173
198prfA 1044 0.30684 0.273379 0.381696	1634	0 109
